"","id","name_long","bev_total","bev_male","bev_female"
"127","08118019","Gerlingen, Stadt",19745,9665,10080
"128","08118021","Großbottwar, Stadt",8512,4295,4217
"129","08118027","Hemmingen",8086,4050,4036
"130","08118028","Hessigheim",2458,1219,1239
"131","08118040","Kirchheim am Neckar",5904,2939,2965
"132","08118046","Kornwestheim, Stadt",33803,16747,17056
"133","08118047","Löchgau",5608,2770,2838
"134","08118048","Ludwigsburg, Stadt",93499,46058,47441
"135","08118049","Marbach am Neckar, Stadt",16008,7901,8107
"136","08118050","Markgröningen, Stadt",14785,7469,7316
"137","08118051","Möglingen",11361,5598,5763
"138","08118053","Mundelsheim",3336,1697,1639
"139","08118054","Murr",6553,3220,3333
"140","08118059","Oberriexingen, Stadt",3319,1677,1642
"141","08118060","Oberstenfeld",8027,3970,4057
"142","08118063","Pleidelsheim",6343,3160,3183
"143","08118067","Schwieberdingen",11383,5729,5654
"144","08118068","Sersheim",5568,2762,2806
"145","08118070","Steinheim an der Murr, Stadt",12220,6040,6180
"146","08118071","Tamm",12685,6326,6359
"147","08118073","Vaihingen an der Enz, Stadt",29467,14725,14742
"148","08118074","Walheim",3264,1638,1626
"149","08118076","Sachsenheim, Stadt",18794,9369,9425
"150","08118077","Ingersheim",6330,3139,3191
"151","08118078","Freiberg am Neckar, Stadt",15968,7792,8176
"152","08118079","Bietigheim-Bissingen, Stadt",43093,21179,21914
"153","08118080","Korntal-Münchingen, Stadt",19679,9818,9861
"154","08118081","Remseck am Neckar, Stadt",26467,13169,13298
"155","08119","Rems-Murr-Kreis, Landkreis",426158,210861,215297
"156","08119001","Alfdorf",7085,3584,3501
"157","08119003","Allmersbach im Tal",4840,2424,2416
"158","08119004","Althütte",4206,2133,2073
"159","08119006","Auenwald",6779,3383,3396
"160","08119008","Backnang, Stadt",37253,18546,18707
"161","08119018","Burgstetten",3685,1867,1818
"162","08119020","Fellbach, Stadt",45671,22144,23527
"163","08119024","Großerlach",2437,1313,1124
"164","08119037","Kaisersbach",2476,1260,1216
"165","08119038","Kirchberg an der Murr",3880,1940,1940
"166","08119041","Korb",10759,5259,5500
"167","08119042","Leutenbach",11517,5693,5824
"168","08119044","Murrhardt, Stadt",14033,6934,7099
"169","08119053","Oppenweiler",4281,2196,2085
"170","08119055","Plüderhausen",9487,4689,4798
"171","08119061","Rudersberg",11382,5698,5684
"172","08119067","Schorndorf, Stadt",39634,19449,20185
"173","08119068","Schwaikheim",9481,4679,4802
"174","08119069","Spiegelberg",2111,1095,1016
"175","08119075","Sulzbach an der Murr",5340,2669,2671
"176","08119076","Urbach",8863,4450,4413
"177","08119079","Waiblingen, Stadt",55449,27334,28115
"178","08119083","Weissach im Tal",7354,3649,3705
"179","08119084","Welzheim, Stadt",11176,5474,5702
"180","08119085","Winnenden, Stadt",28339,14010,14329
"181","08119086","Winterbach",7660,3726,3934
"182","08119087","Aspach",8187,4126,4061
"183","08119089","Berglen",6387,3202,3185
"184","08119090","Remshalden",14042,7006,7036
"185","08119091","Weinstadt, Stadt",26987,13284,13703
"186","08119093","Kernen im Remstal",15377,7645,7732
"187","08121000","Heilbronn, Stadtkreis",125960,63527,62433
"188","08125","Heilbronn, Landkreis",343068,172382,170686
"189","08125001","Abstatt",4803,2443,2360
"190","08125005","Bad Friedrichshall, Stadt",19264,9731,9533
"191","08125006","Bad Rappenau, Stadt",21398,10558,10840
"192","08125007","Bad Wimpfen, Stadt",7359,3762,3597
"193","08125008","Beilstein, Stadt",6195,3102,3093
"194","08125013","Brackenheim, Stadt",16106,8075,8031
"195","08125017","Cleebronn",2983,1534,1449
"196","08125021","Eberstadt",3103,1542,1561
"197","08125024","Ellhofen",3724,1880,1844
"198","08125026","Eppingen, Stadt",21819,10932,10887
"199","08125027","Erlenbach",5121,2520,2601
"200","08125030","Flein",7041,3356,3685
"201","08125034","Gemmingen",5145,2561,2584
"202","08125038","Güglingen, Stadt",6353,3250,3103
"203","08125039","Gundelsheim, Stadt",7254,3667,3587
"204","08125046","Ilsfeld",9568,4933,4635
"205","08125047","Ittlingen",2571,1303,1268
"206","08125048","Jagsthausen",1880,889,991
"207","08125049","Kirchardt",5921,3037,2884
"208","08125056","Lauffen am Neckar, Stadt",11640,5820,5820
"209","08125057","Lehrensteinsfeld",2479,1245,1234
"210","08125058","Leingarten",11633,5811,5822
"211","08125059","Löwenstein, Stadt",3394,1705,1689
"212","08125061","Massenbachhausen",3499,1784,1715
"213","08125063","Möckmühl, Stadt",8078,4137,3941
"214","08125065","Neckarsulm, Stadt",26492,13223,13269
"215","08125066","Neckarwestheim",3961,2023,1938
"216","08125068","Neudenau, Stadt",5266,2646,2620
"217","08125069","Neuenstadt am Kocher, Stadt",10123,5088,5035
"218","08125074","Nordheim",8270,4123,4147
"219","08125078","Oedheim",6455,3212,3243
"220","08125079","Offenau",2911,1466,1445
"221","08125081","Pfaffenhofen",2424,1237,1187
"222","08125084","Roigheim",1442,768,674
"223","08125086","Schwaigern, Stadt",11425,5847,5578
"224","08125087","Siegelsbach",1626,821,805
"225","08125094","Talheim",4962,2517,2445
"226","08125096","Untereisesheim",4173,2081,2092
"227","08125098","Untergruppenbach",8304,4133,4171
"228","08125102","Weinsberg, Stadt",12336,6208,6128
"229","08125103","Widdern, Stadt",1809,947,862
"230","08125107","Wüstenrot",6750,3245,3505
"231","08125108","Zaberfeld",4087,2045,2042
"232","08125110","Obersulm",13914,6954,6960
"233","08125111","Hardthausen am Kocher",4159,2217,1942
"234","08125113","Langenbrettach",3848,2004,1844
"235","08126","Hohenlohekreis, Landkreis",112010,56550,55460
"236","08126011","Bretzfeld",12651,6363,6288
"237","08126020","Dörzbach",2485,1239,1246
"238","08126028","Forchtenberg, Stadt",5057,2614,2443
"239","08126039","Ingelfingen, Stadt",5480,2729,2751
"240","08126045","Krautheim, Stadt",4613,2434,2179
"241","08126046","Künzelsau, Stadt",15391,7749,7642
"242","08126047","Kupferzell",6164,3158,3006
"243","08126056","Mulfingen",3643,1891,1752
"244","08126058","Neuenstein, Stadt",6531,3304,3227
"245","08126060","Niedernhall, Stadt",4106,2052,2054
"246","08126066","Öhringen, Stadt",24374,12071,12303
"247","08126069","Pfedelbach",9123,4583,4540
"248","08126072","Schöntal",5610,2873,2737
"249","08126085","Waldenburg, Stadt",3094,1609,1485
"250","08126086","Weißbach",2021,999,1022
"251","08126094","Zweiflingen",1667,882,785
"252","08127","Schwäbisch Hall, Landkreis",195861,98314,97547
"253","08127008","Blaufelden",5283,2744,2539
"254","08127009","Braunsbach",2506,1268,1238
"255","08127012","Bühlertann",3027,1527,1500
"256","08127013","Bühlerzell",2026,1026,1000
"257","08127014","Crailsheim, Stadt",34400,17376,17024
"258","08127023","Fichtenberg",2922,1466,1456
"259","08127025","Gaildorf, Stadt",12080,5932,6148
